             a    b    c    d    e    f    g    h    i    j    k    l    m    n    o    p    r    s    t    text-a    text-b    text-c    u    total
a            2    1    1    0    0    1    0    1    0    2    3    1    0    2    0    0    0    1    2    0         0         0         2    19
ac           1    1    2    1    2    1    3    2    2    1    0    2    2    1    2    1    2    0    4    0         0         0         1    31
accumsan     0    0    0    0    1    0    0    0    0    0    1    0    1    0    1    0    0    0    0    0         0         0         1    5
actually     0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
adipiscing   0    0    0    0    0    1    0    0    1    0    0    1    1    0    0    0    0    0    0    0         0         0         0    4
aenean       0    0    1    0    0    0    1    1    0    1    0    1    0    0    0    0    0    0    0    0         0         0         1    6
aliquam      0    1    0    0    1    2    6    0    0    1    0    0    0    1    0    1    0    1    1    0         0         0         1    16
aliquet      0    2    0    0    0    1    1    0    2    1    2    0    0    1    0    0    0    1    1    0         0         0         1    13
amet         1    1    0    0    1    2    0    2    2    2    0    3    2    3    1    2    1    3    1    0         0         0         2    29
and          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
ante         0    0    3    0    2    0    3    0    0    2    2    1    2    2    0    1    0    0    0    0         0         0         0    18
arcu         0    2    2    0    0    0    0    2    2    1    1    2    1    1    0    0    0    2    1    0         0         0         3    20
are          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         1         0         0    2
at           0    1    4    1    0    1    1    1    0    0    3    0    1    1    1    0    1    2    1    0         0         0         3    22
auctor       1    0    1    0    0    0    2    0    0    2    0    0    2    0    0    1    0    0    1    0         0         0         1    11
augue        0    0    1    0    0    0    1    2    1    0    2    0    0    1    4    1    1    1    0    0         0         0         0    15
bibendum     0    0    1    0    1    0    2    1    1    2    1    0    0    0    0    1    0    0    1    0         0         0         1    12
blandit      2    1    0    1    1    0    1    0    0    1    1    1    0    0    0    0    0    0    0    0         0         0         1    10
can          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         1         0    1
commodo      1    0    1    0    0    2    0    1    0    0    2    0    0    0    0    1    2    1    0    0         0         0         0    11
condimentum  0    1    0    0    1    0    4    0    1    1    0    0    0    0    0    0    0    0    0    0         0         0         0    8
congue       0    0    0    0    1    0    1    0    0    1    1    1    0    0    1    0    2    0    0    0         0         0         1    9
consectetur  0    0    1    1    0    1    0    0    1    2    0    1    1    0    0    0    0    0    0    0         0         0         0    8
consequat    1    0    0    0    0    1    1    0    0    1    0    0    0    1    0    0    1    0    0    0         0         0         0    6
convallis    0    0    0    0    0    0    2    0    0    0    0    0    2    2    0    2    2    0    0    0         0         0         0    10
counting     0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         1         0         0    2
cras         0    0    1    0    0    2    2    1    0    2    0    0    0    1    0    0    1    0    0    0         0         0         0    10
cubilia      0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0         0         0         0    1
curabitur    0    0    0    0    0    0    0    0    2    0    0    1    0    0    0    0    0    0    2    0         0         0         0    5
curae        0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0         0         0         0    1
cursus       2    0    0    0    0    2    0    1    3    1    0    0    0    0    0    2    0    0    1    0         0         0         0    12
dapibus      3    1    0    1    1    1    0    1    1    0    0    1    1    0    0    0    0    1    0    0         0         0         0    12
diam         1    1    2    1    1    1    0    1    0    1    1    0    0    0    0    1    1    0    3    0         0         0         3    18
dictum       1    1    0    0    0    1    1    1    0    1    0    2    0    0    0    0    0    1    1    0         0         0         0    10
dictumst     0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
dignissim    0    0    1    1    0    1    0    1    1    1    0    1    1    0    0    0    0    0    0    0         0         0         1    9
do           0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         1         0    1
dolor        1    0    0    0    1    3    0    1    2    1    1    2    1    0    1    1    0    1    0    0         0         0         0    16
donec        1    2    1    1    0    0    0    0    2    0    1    1    0    2    0    1    0    3    0    0         0         0         0    15
dui          0    1    0    0    0    0    0    1    1    0    0    0    0    0    0    1    0    2    1    0         0         0         2    9
duis         0    1    0    0    0    0    0    0    0    0    2    0    0    0    0    0    1    0    0    0         0         0         1    5
efficitur    0    1    0    0    0    1    3    1    0    0    0    0    1    0    1    0    0    0    0    0         0         0         1    9
egestas      1    0    0    1    0    2    0    1    1    0    1    0    0    0    0    0    0    0    0    0         0         0         0    7
eget         3    0    1    1    1    1    2    0    0    3    0    1    0    2    1    0    0    1    0    0         0         0         1    18
eleifend     0    2    1    0    0    0    1    1    1    1    0    1    0    0    0    0    0    2    2    0         0         0         1    13
elementum    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    2    0    0    1    0         0         0         0    5
elit         1    1    0    1    1    1    1    0    1    0    1    1    2    1    1    1    0    1    0    0         0         0         1    16
enim         0    0    2    0    0    1    0    0    3    1    0    1    1    0    1    0    1    0    1    0         0         0         2    14
erat         0    0    0    1    0    1    1    0    1    1    0    0    0    1    0    0    2    0    1    0         0         0         0    9
eros         0    1    0    0    1    0    2    1    1    0    0    0    0    0    0    0    0    0    0    0         0         0         0    6
est          1    1    0    2    0    1    2    2    1    1    1    1    0    0    3    1    0    0    0    0         0         0         0    17
et           3    0    0    4    1    1    2    0    3    3    3    0    1    3    2    2    0    0    3    0         0         0         0    31
etiam        0    0    1    0    3    0    1    2    0    1    1    0    0    0    0    0    0    2    2    0         0         0         0    13
eu           2    0    1    2    2    1    3    1    0    3    1    2    2    0    1    3    0    1    7    0         0         0         0    32
euismod      0    2    1    0    0    1    1    0    0    0    1    0    0    0    0    0    1    1    1    0         0         0         1    10
ever         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
everywhere   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
ex           1    0    1    1    0    3    1    1    0    1    2    0    1    0    1    1    0    1    2    0         0         0         0    17
facilisis    1    0    0    0    0    2    0    0    1    0    1    1    0    1    0    0    0    1    1    0         0         0         0    9
fames        0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    2
faucibus     0    2    0    1    2    1    0    0    0    2    0    1    0    0    0    0    0    1    1    0         0         0         1    12
felis        0    0    0    0    0    0    0    0    1    1    0    1    0    0    1    1    0    3    2    0         0         0         3    13
fermentum    1    1    0    1    1    0    0    0    1    1    0    1    0    0    0    0    0    0    0    0         0         0         1    8
feugiat      0    0    0    0    0    1    0    1    1    0    0    0    0    0    1    0    0    0    0    0         0         0         0    4
file         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
finibus      0    0    2    1    1    0    1    0    0    1    1    2    0    0    1    0    0    0    1    0         0         0         1    12
fringilla    1    0    1    0    0    0    0    0    0    0    4    1    0    0    1    0    0    0    0    0         0         0         1    9
fusce        0    0    0    0    0    0    1    2    1    0    0    1    0    0    0    1    0    0    1    0         0         0         2    9
gravida      1    0    1    0    0    0    1    0    0    0    0    0    0    0    0    1    0    1    0    0         0         0         0    5
habitant     0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
